demand_id,demand_name,parent_entity_type,parent_label_source,canonical_evidence_phrase,canonical_source_phrase,is_parent_market,intent,recipient,profession,interest,occasion,holiday,lifestyle,theme,product_count,keyword_count,best_rank,p25_rank,median_rank,average_rank,active_months,trend
CD000001,Gift for Mom,market,dominant_observed_phrase,gift for mom,gift for mom,True,gift,mom,,,,,,,0,96,65,115247.25,399184.5,483823.71,4,growing
CD000002,Gift for Dad,market,dominant_observed_phrase,gift for dad,gift for dad,True,gift,dad,,,,,,,0,93,154,120206.0,395237.0,499675.94,4,growing
CD000003,Teen Girl Gift,market,dominant_observed_phrase,teen girl gift trendy stuff,teen girl gift trendy stuff,True,gift,girl,,,,,,,0,114,455,109560.75,298016.5,420753.68,4,growing
CD000004,Grandma Gift,market,dominant_observed_phrase,grandma gift,grandma gift,True,gift,grandma,,,,,,,0,74,666,103702.5,310235.5,491425.42,4,growing
CD000005,Teen Boy Gift,market,dominant_observed_phrase,gift for teen boys,gift for teen boys,True,gift,boy,,,,,,,0,91,744,78191.0,306395.0,417784.23,4,growing
CD000006,Teacher Gift,market,dominant_observed_phrase,teacher gift,teacher gift,True,gift,,teacher,,,,,,0,33,1015,97172.0,371043.0,487585.15,4,growing
CD000007,Mom Christmas Gift,market,dominant_observed_phrase,christmas gift for mom,christmas gift for mom,True,gift,mom,,,christmas,christmas,,,0,86,1231,110436.0,377422.0,496988.59,4,growing
CD000008,Grandpa Gift,market,dominant_observed_phrase,grandpa gift,grandpa gift,True,gift,grandpa,,,,,,,0,41,2236,76920.0,420470.0,455182.1,4,growing
CD000009,Dad Christmas Gift,market,dominant_observed_phrase,dad christmas gift,dad christmas gift,True,gift,dad,,,christmas,christmas,,,0,60,2483,135056.5,386908.0,504296.7,4,growing
CD000010,Gift for Wife,market,dominant_observed_phrase,gift for wife,gift for wife,True,gift,wife,,,,,,,0,57,2513,126523.0,383668.0,556688.72,4,growing
CD000011,Gift for Husband,market,dominant_observed_phrase,gift for husband,gift for husband,True,gift,husband,,,,,,,0,49,2778,80874.0,323374.0,482064.63,4,growing
CD000012,Dog Christmas Gift,market,dominant_observed_phrase,dog christmas gift,dog christmas gift,True,gift,dog,,,christmas,christmas,,,0,43,2843,164727.5,384932.0,496029.95,4,growing
CD000013,Teacher Christmas Gift,market,dominant_observed_phrase,teacher christmas gift,teacher christmas gift,True,gift,,teacher,,christmas,christmas,,,0,32,3609,139575.0,416919.5,498372.47,4,growing
CD000014,Dog Gift,market,dominant_observed_phrase,dog gift,dog gift,True,gift,dog,,,,,,,0,32,3977,119304.75,378575.0,466795.47,4,growing
CD000015,Baby Girl Gift,market,dominant_observed_phrase,baby girl gift,baby girl gift,True,gift,girl,,,,,,,0,29,4936,41787.0,128292.0,413008.86,4,growing
CD000016,Nurse Gift,market,dominant_observed_phrase,nurse gift,nurse gift,True,gift,,nurse,,,,,,0,20,5255,112295.75,325913.5,453793.85,4,growing
CD000017,Cat Lover Gift,market,dominant_observed_phrase,gift for people who love cats,gift for people who love cats,True,gift,cat,,,,,,,0,41,5328,145577.0,567920.0,551600.15,4,growing
CD000018,Girl Gift,market,dominant_observed_phrase,gift for girls,gift for girls,True,gift,girl,,,,,,,0,69,5340,151811.0,439953.0,518648.14,4,growing
CD000019,Wife Christmas Gift,market,dominant_observed_phrase,wife christmas gift ideas,wife christmas gift ideas,True,gift,wife,,,christmas,christmas,,,0,52,6604,160592.0,495209.5,554558.06,4,growing
CD000020,Coffee Gift,market,dominant_observed_phrase,coffee gift,coffee gift,True,gift,,,coffee,,,,,0,12,7133,77348.75,180443.5,414239.58,4,growing
CD000021,Cat Gift,market,dominant_observed_phrase,cat gift,cat gift,True,gift,cat,,,,,,,0,30,7210,144142.5,421181.5,558063.23,4,growing
CD000022,Boy Gift,market,dominant_observed_phrase,gift for boys,gift for boys,True,gift,boy,,,,,,,0,53,7239,151586.0,533993.0,499861.0,4,growing
CD000023,Papa Gift,market,dominant_observed_phrase,papa gift,papa gift,True,gift,dad,,,,,,,0,18,7534,94781.0,231555.5,414207.33,4,growing
CD000024,Baby Boy Gift,market,dominant_observed_phrase,baby boy gift,baby boy gift,True,gift,boy,,,,,,,0,26,7566,39020.25,117413.5,334570.0,4,growing
CD000025,Gardening Gift,market,dominant_observed_phrase,gardening gift,gardening gift,True,gift,,,gardening,,,,,0,11,7831,117072.0,337731.0,495647.36,4,growing
CD000026,Fishing Gift,market,dominant_observed_phrase,fishing gift,fishing gift,True,gift,,,fishing,,,,,0,13,8165,89208.0,513700.0,555469.08,4,growing
CD000027,Mom Birthday Gift,market,dominant_observed_phrase,mom birthday gift,mom birthday gift,True,gift,mom,,,birthday,,,,0,44,8392,51974.5,134265.5,339636.05,4,declining
CD000028,Toddler Girl Gift,market,dominant_observed_phrase,toddler girl gift,toddler girl gift,True,gift,girl,,,,,,,0,34,9014,158132.75,399356.5,501327.29,4,growing
CD000029,Grandma Christmas Gift,market,dominant_observed_phrase,grandma christmas gift,grandma christmas gift,True,gift,grandma,,,christmas,christmas,,,0,41,9464,200876.0,515848.0,590373.12,4,growing
CD000030,Pickleball Gift,market,dominant_observed_phrase,pickleball gift,pickleball gift,True,gift,,,pickleball,,,,,0,11,10568,86724.5,342533.0,405546.0,4,growing
CD000031,Girl Christmas Gift,market,dominant_observed_phrase,girls christmas gift,girls christmas gift,True,gift,girl,,,christmas,christmas,,,0,45,10897,97954.0,359443.0,454407.73,4,growing
CD000032,Gift for Dad Daughter,market,dominant_observed_phrase,gift for dad from daughter,gift for dad from daughter,True,gift,dad,,,,,,,0,34,11063,259632.25,536389.0,635848.47,4,growing
CD000033,Husband Christmas Gift,market,dominant_observed_phrase,gift for husband christmas,gift for husband christmas,True,gift,husband,,,christmas,christmas,,,0,39,11179,116619.5,430295.0,511721.74,4,growing
CD000034,Soccer Gift,market,dominant_observed_phrase,soccer gift,soccer gift,True,gift,,,soccer,,,,,0,10,11357,52127.75,151242.5,341854.0,4,growing
CD000035,Boy Christmas Gift,market,dominant_observed_phrase,boys christmas gift,boys christmas gift,True,gift,boy,,,christmas,christmas,,,0,37,11627,45414.0,310145.0,441508.89,4,growing
CD000036,Teen Girl Christmas Gift,market,dominant_observed_phrase,christmas gift for teen girls,christmas gift for teen girls,True,gift,girl,,,christmas,christmas,,,0,57,11801,148484.0,435648.0,506034.09,4,growing
CD000037,Dad Birthday Gift,market,dominant_observed_phrase,dad birthday gift,dad birthday gift,True,gift,dad,,,birthday,,,,0,36,12360,67314.0,143916.5,265655.17,4,declining
CD000038,Teacher Appreciation Gift,market,dominant_observed_phrase,teacher appreciation gift,teacher appreciation gift,True,appreciation,,teacher,,appreciation,,,,0,5,15075,36433.0,53546.0,230594.8,4,growing
CD000039,Camping Gift,market,dominant_observed_phrase,camping gift,camping gift,True,gift,,,camping,,,,,0,14,17729,230573.0,547951.0,581978.0,4,growing
CD000040,Coffee Lover Gift,market,dominant_observed_phrase,coffee lover gift,coffee lover gift,True,gift,,,coffee,,,coffee lover,,0,24,18646,212422.75,366730.0,522950.88,4,growing
CD000041,Soccer Boy Gift,market,dominant_observed_phrase,soccer gift for boys,soccer gift for boys,True,gift,boy,,soccer,,,,,0,9,19843,73658.0,488841.0,639975.56,4,growing
CD000042,Teen Boy Christmas Gift,market,dominant_observed_phrase,christmas gift for teen boys,christmas gift for teen boys,True,gift,boy,,,christmas,christmas,,,0,36,19853,212725.75,442796.0,579343.03,4,growing
CD000043,Firefighter Gift,market,dominant_observed_phrase,firefighter gift,firefighter gift,True,gift,,firefighter,,,,,,0,7,19863,109730.5,171778.0,304727.43,4,growing
CD000044,Toddler Boy Gift,market,dominant_observed_phrase,toddler boy gift,toddler boy gift,True,gift,boy,,,,,,,0,30,20405,186108.0,481330.0,544558.67,4,growing
CD000045,Cat Christmas Gift,market,dominant_observed_phrase,cat christmas gift,cat christmas gift,True,gift,cat,,,christmas,christmas,,,0,22,20998,279443.0,494790.0,517427.95,3,growing
CD000046,Hunting Gift,market,dominant_observed_phrase,hunting gift,hunting gift,True,gift,,,hunting,,,,,0,6,21030,79343.75,211001.0,213655.0,4,growing
CD000047,Book Lover Gift,market,dominant_observed_phrase,book lover gift,book lover gift,True,gift,,,reading,,,book lover,,0,20,21887,114212.25,445061.5,482661.9,4,growing
CD000048,Dad Daughter Christmas Gift,market,dominant_observed_phrase,dad christmas gift from daughter,dad christmas gift from daughter,True,gift,dad,,,christmas,christmas,,,0,14,22168,128409.0,416036.5,489761.43,3,growing
CD000049,Gift for Daughter,market,dominant_observed_phrase,gift for daughter,gift for daughter,True,gift,daughter,,,,,,,0,18,22172,97265.25,175837.5,314016.83,4,growing
CD000050,Mother Gift,market,dominant_observed_phrase,mother gift,mother gift,True,gift,mom,,,,,,,0,19,23950,153394.0,346302.0,523931.26,4,growing
CD000051,Bride Mother Gift,market,dominant_observed_phrase,mother of the bride gift,mother of the bride gift,True,gift,mom,,,wedding,,,,0,16,25638,188149.5,404720.0,482150.25,4,declining
CD000052,Gift for Son,market,dominant_observed_phrase,gift for son,gift for son,True,gift,son,,,,,,,0,15,27364,149574.5,276274.0,374744.27,4,growing
CD000053,Toddler Girl Christmas Gift,market,dominant_observed_phrase,toddler girl christmas gift,toddler girl christmas gift,True,gift,girl,,,christmas,christmas,,,0,23,27537,275794.5,477805.0,593697.78,4,growing
CD000054,Dog Mom Gift,market,dominant_observed_phrase,dog mom gift,dog mom gift,True,gift,dog mom,,,,,dog lover,,0,13,27749,206752.0,293386.0,422446.77,4,growing
CD000055,Cat Mom Gift,market,dominant_observed_phrase,cat mom gift,cat mom gift,True,gift,cat mom,,,,,cat lover,,0,11,28148,247798.0,550035.0,616897.73,4,growing
CD000056,Cat Dad Gift,market,dominant_observed_phrase,cat dad gift,cat dad gift,True,gift,dad,,,,,cat lover,,0,6,28520,145548.75,293769.0,411054.67,4,growing
CD000057,Dog Lover Gift,market,dominant_observed_phrase,gift for dog lovers,gift for dog lovers,True,gift,dog,,,,,dog lover,,0,19,28541,197078.0,318028.0,466765.47,4,growing
CD000058,Grandmother Gift,market,dominant_observed_phrase,grandmother gift,grandmother gift,True,gift,grandma,,,,,,,0,15,29286,186115.5,326858.0,527588.87,4,growing
CD000059,Mother Christmas Gift,market,dominant_observed_phrase,mother christmas gift,mother christmas gift,True,gift,mom,,,christmas,christmas,,,0,7,29967,90973.0,305660.0,371482.43,3,growing
CD000060,Husband Birthday Gift,market,dominant_observed_phrase,husband birthday gift,husband birthday gift,True,gift,husband,,,birthday,,,,0,34,30054,117377.75,242812.0,382139.44,4,declining
CD000061,Cat Cat Lover Gift,market,dominant_observed_phrase,cat gift for cat lovers,cat gift for cat lovers,True,gift,cat,,,,,cat lover,,0,7,33788,143743.0,233531.0,458936.29,4,growing
CD000062,Toddler Boy Christmas Gift,market,dominant_observed_phrase,toddler boy christmas gift,toddler boy christmas gift,True,gift,boy,,,christmas,christmas,,,0,17,34261,219044.0,427379.0,454256.82,4,growing
CD000063,Police Officer Gift,market,dominant_observed_phrase,gift for police officers,gift for police officers,True,gift,,police officer,,,,,,0,11,34280,189132.5,403083.0,493780.45,4,growing
CD000064,Grandma Birthday Gift,market,dominant_observed_phrase,grandma birthday gift,grandma birthday gift,True,gift,grandma,,,birthday,,,,0,27,36922,175313.0,330016.0,383249.63,4,declining
CD000065,Gaming Gift,market,dominant_observed_phrase,gaming gift,gaming gift,True,gift,,,gaming,,,,,0,6,36951,169595.75,383644.0,412908.33,4,growing
CD000066,Grandpa Christmas Gift,market,dominant_observed_phrase,grandpa christmas gift,grandpa christmas gift,True,gift,grandpa,,,christmas,christmas,,,0,16,41264,127986.5,436807.5,520535.88,3,growing
CD000067,Father Gift,market,dominant_observed_phrase,father gift,father gift,True,gift,dad,,,,,,,0,13,43728,160403.0,470583.0,476770.62,4,growing
CD000068,Teen Girl Birthday Gift,market,dominant_observed_phrase,birthday gift for teen girls,birthday gift for teen girls,True,gift,girl,,,birthday,,,,0,16,45126,144828.75,312647.0,369996.75,4,declining
CD000069,Girl Birthday Gift,market,dominant_observed_phrase,birthday gift for girls,birthday gift for girls,True,gift,girl,,,birthday,,,,0,24,45838,130432.75,369133.5,482737.96,4,declining
CD000070,Gift for Dad Son,market,dominant_observed_phrase,gift for dad from son,gift for dad from son,True,gift,dad,,,,,,,0,16,46318,234684.25,775653.5,677259.0,4,growing
CD000071,Mama Gift,market,dominant_observed_phrase,mama gift,mama gift,True,gift,mom,,,,,,,0,11,46879,239416.0,297731.0,510611.0,4,growing
CD000072,Wife Birthday Gift,market,dominant_observed_phrase,wife birthday gift ideas,wife birthday gift ideas,True,gift,wife,,,birthday,,,,0,31,47933,124404.5,294392.0,389218.94,4,declining
CD000073,Father Christmas Gift,market,dominant_observed_phrase,father christmas gift,father christmas gift,True,gift,dad,,,christmas,christmas,,,0,6,48828,216442.75,683509.5,639256.5,3,growing
CD000074,Gift for Adult Son,market,dominant_observed_phrase,gift for adult son,gift for adult son,True,gift,son,,,,,,,0,12,50484,373516.0,575900.0,644661.92,4,growing
CD000075,Chef Gift,market,dominant_observed_phrase,chef gift,chef gift,True,gift,,chef,,,,,,0,18,50496,317438.5,687578.5,688998.72,4,growing
CD000076,Bride Father Gift,market,dominant_observed_phrase,father of the bride gift,father of the bride gift,True,gift,dad,,,wedding,,,,0,8,54515,135203.75,299059.5,469989.5,4,declining
CD000077,Groom Mother Gift,market,dominant_observed_phrase,mother of the groom gift,mother of the groom gift,True,gift,mom,,,wedding,,,,0,12,57232,176029.75,423806.5,527883.33,4,declining
CD000078,Truck Driver Gift,market,dominant_observed_phrase,truck driver gift,truck driver gift,True,gift,,truck driver,,,,,,0,7,59395,327641.0,549945.0,659336.43,4,growing
CD000079,Soccer Girl Gift,market,dominant_observed_phrase,soccer gift for girls,soccer gift for girls,True,gift,girl,,soccer,,,,,0,9,60592,120735.0,335510.0,457534.22,4,growing
CD000080,Reading Gift,market,dominant_observed_phrase,reading gift,reading gift,True,gift,,,reading,,,,,0,6,63497,189216.0,413104.0,466575.33,4,growing
CD000081,Dog Memorial,market,dominant_observed_phrase,dog memorial,dog memorial,True,memorial,dog,,,,,,,0,4,65852,87505.25,95653.5,88746.75,4,declining
CD000082,Gift for Adult Daughter,market,dominant_observed_phrase,gift for adult daughter,gift for adult daughter,True,gift,daughter,,,,,,,0,15,69631,508108.5,542577.0,645759.4,4,growing
CD000083,Yoga Gift,market,dominant_observed_phrase,yoga gift,yoga gift,True,gift,,,yoga,,,,,0,6,78009,238232.5,418133.0,408156.5,4,growing
CD000084,Electrician Gift,market,dominant_observed_phrase,electrician gift,electrician gift,True,gift,,electrician,,,,,,0,8,81075,555291.5,742789.0,655073.63,4,growing
CD000085,Teacher Halloween Gift,market,dominant_observed_phrase,halloween teacher gift,halloween teacher gift,True,gift,,teacher,,halloween,halloween,,,0,7,82132,165165.5,357593.0,359015.43,2,growing
CD000086,Baby Girl Christmas Gift,market,dominant_observed_phrase,baby girl christmas gift,baby girl christmas gift,True,gift,girl,,,christmas,christmas,,,0,12,85658,285601.5,319808.0,461590.75,4,growing
CD000087,Dad Son Christmas Gift,market,dominant_observed_phrase,dad christmas gift from son,dad christmas gift from son,True,gift,dad,,,christmas,christmas,,,0,8,88737,285833.0,379153.0,591111.13,2,growing
CD000088,Husband Day Valentine Gift,market,dominant_observed_phrase,husband valentines day gift,husband valentines day gift,True,gift,husband,,,valentine's day,valentine,,,0,1,92549,92549.0,92549.0,92549.0,1,emerging
CD000089,Fishing Boy Gift,market,dominant_observed_phrase,fishing gift for boys,fishing gift for boys,True,gift,boy,,fishing,,,,,0,4,95456,142176.5,281730.0,270187.0,4,growing
CD000090,Police Gift,market,dominant_observed_phrase,police gift,police gift,True,gift,,police officer,,,,,,0,7,97331,386666.0,612905.0,678826.29,4,growing
CD000091,Daughter Birthday Gift,market,dominant_observed_phrase,daughter birthday gift,daughter birthday gift,True,gift,daughter,,,birthday,,,,0,12,99214,225615.5,415289.0,422393.17,4,declining
CD000092,Baby Boy Christmas Gift,market,dominant_observed_phrase,baby boy christmas gift,baby boy christmas gift,True,gift,boy,,,christmas,christmas,,,0,12,101696,344081.0,568827.5,647209.42,4,growing
CD000093,Husband Anniversary Gift,market,dominant_observed_phrase,cool anniversary gift for husband,cool anniversary gift for husband,True,gift,husband,,,anniversary,,,,0,21,104454,146039.0,219468.0,426954.76,4,declining
CD000094,Cat Girl Gift,market,dominant_observed_phrase,cat gift for girls,cat gift for girls,True,gift,girl,,,,,,,0,5,107343,156557.0,281885.0,437254.6,4,growing
CD000095,Mother Birthday Gift,market,dominant_observed_phrase,mother birthday gift,mother birthday gift,True,gift,mom,,,birthday,,,,0,9,111215,254093.0,623549.0,617369.89,4,declining
CD000096,Wife Anniversary Gift,market,dominant_observed_phrase,anniversary gift for wife,anniversary gift for wife,True,gift,wife,,,anniversary,,,,0,13,113658,267079.0,475389.0,485317.38,4,declining
CD000097,Dog Dad Gift,market,dominant_observed_phrase,dog dad gift,dog dad gift,True,gift,dad,,,,,dog lover,,0,9,114607,531609.0,844695.0,837575.33,4,growing
CD000098,Mom Xmas Gift,market,dominant_observed_phrase,xmas gift for mom,xmas gift for mom,True,gift,mom,,,christmas,christmas,,,0,6,116788,240275.5,356751.0,493427.5,2,growing
CD000099,Male Teacher Gift,market,dominant_observed_phrase,male teacher gift,male teacher gift,True,gift,,teacher,,,,,,0,9,120336,440141.0,1003821.0,758325.11,4,growing
CD000100,Grandmother Christmas Gift,market,dominant_observed_phrase,grandmother christmas gift,grandmother christmas gift,True,gift,grandma,,,christmas,christmas,,,0,6,120702,352830.25,538858.0,485287.0,2,growing
CD000101,Grandfather Gift,market,dominant_observed_phrase,grandfather gift,grandfather gift,True,gift,grandpa,,,,,,,0,8,124201,206874.75,535558.5,508303.75,2,growing
CD000102,Nurse Christmas Gift,market,dominant_observed_phrase,nurse christmas gift,nurse christmas gift,True,gift,,nurse,,christmas,christmas,,,0,4,129194,258350.0,702987.5,670026.5,2,growing
CD000103,Daughter Christmas Gift,market,dominant_observed_phrase,christmas gift for daughter,christmas gift for daughter,True,gift,daughter,,,christmas,christmas,,,0,7,136786,168041.0,338683.0,444191.71,3,growing
CD000104,Papa Christmas Gift,market,dominant_observed_phrase,papa christmas gift,papa christmas gift,True,gift,dad,,,christmas,christmas,,,0,7,136907,339643.5,349225.0,481391.71,2,growing
CD000105,Boy Birthday Gift,market,dominant_observed_phrase,boys birthday gift,boys birthday gift,True,gift,boy,,,birthday,,,,0,12,140361,199855.5,243049.5,304087.33,4,declining
CD000106,Grandpa Birthday Gift,market,dominant_observed_phrase,grandpa birthday gift,grandpa birthday gift,True,gift,grandpa,,,birthday,,,,0,16,143641,507108.25,811198.0,726969.75,4,declining
CD000107,Dog Xmas Gift,market,dominant_observed_phrase,dog xmas gift,dog xmas gift,True,gift,dog,,,christmas,christmas,,,0,3,155691,359985.0,564279.0,540017.0,2,growing
CD000108,Girl Teen Gift,market,dominant_observed_phrase,girl teen gift,girl teen gift,True,gift,girl,,,,,,,0,14,169597,663796.5,802190.5,850753.79,3,growing
CD000109,Dog Birthday Gift,market,dominant_observed_phrase,dog birthday gift,dog birthday gift,True,gift,dog,,,birthday,,,,0,13,172427,320494.0,505243.0,624316.0,4,declining
CD000110,Girl Halloween Gift,market,dominant_observed_phrase,halloween gift for girls,halloween gift for girls,True,gift,girl,,,halloween,halloween,,,0,6,176823,458464.25,748957.5,686821.0,2,growing
CD000111,Dad Kid Gift,market,dominant_observed_phrase,gift for dad from kids,gift for dad from kids,True,gift,dad,,,,,,,0,8,183134,450690.25,649448.5,713890.88,2,growing
CD000112,Boy Soccer Gift,market,dominant_observed_phrase,boys soccer gift,boys soccer gift,True,gift,boy,,soccer,,,,,0,4,186908,361589.0,603544.5,609356.5,3,growing
CD000113,Mom Kid Gift,market,dominant_observed_phrase,gift for mom from kids,gift for mom from kids,True,gift,mom,,,,,,,0,4,188717,624247.25,815992.0,732972.25,2,growing
CD000114,Boy Teen Gift,market,dominant_observed_phrase,boy teen gift,boy teen gift,True,gift,boy,,,,,,,0,9,200746,611275.0,918371.0,906989.33,3,growing
CD000115,Wife Xmas Gift,market,dominant_observed_phrase,xmas gift for wife,xmas gift for wife,True,gift,wife,,,christmas,christmas,,,0,8,202665,316459.5,494909.5,547037.13,2,growing
CD000116,Girl Soccer Gift,market,dominant_observed_phrase,girls soccer gift,girls soccer gift,True,gift,girl,,soccer,,,,,0,6,216509,383400.75,537818.5,560956.0,4,growing
CD000117,Son Christmas Gift,market,dominant_observed_phrase,christmas gift for son,christmas gift for son,True,gift,son,,,christmas,christmas,,,0,7,220281,291171.5,572109.0,699850.29,2,growing
CD000118,Thanksgiving Teacher Gift,market,dominant_observed_phrase,thanksgiving teacher gift,thanksgiving teacher gift,True,gift,,teacher,,thanksgiving,thanksgiving,,,0,3,245731,252817.0,259903.0,263902.0,1,stable
CD000119,Boy Halloween Gift,market,dominant_observed_phrase,halloween gift for boys,halloween gift for boys,True,gift,boy,,,halloween,halloween,,,0,5,245813,626433.0,805152.0,796604.6,2,growing
CD000120,Dad Xmas Gift,market,dominant_observed_phrase,dad xmas gift,dad xmas gift,True,gift,dad,,,christmas,christmas,,,0,7,257418,291382.5,610255.0,528000.29,2,growing
CD000121,Adult Son Christmas Gift,market,dominant_observed_phrase,adult son christmas gift ideas,adult son christmas gift ideas,True,gift,son,,,christmas,christmas,,,0,5,266686,384499.0,635452.0,689048.0,2,growing
CD000122,Cat Cat Gift,market,dominant_observed_phrase,cat gift for cats,cat gift for cats,True,gift,cat,,,,,,,0,3,280157,506738.0,733319.0,811707.33,2,growing
CD000123,Grandfather Christmas Gift,market,dominant_observed_phrase,grandfather christmas gift,grandfather christmas gift,True,gift,grandpa,,,christmas,christmas,,,0,3,283914,707782.5,1131651.0,891915.0,2,growing
CD000124,Hairstylist Gift,market,dominant_observed_phrase,hairstylist gift,hairstylist gift,True,gift,,hairstylist,,,,,,0,4,287375,406720.25,618585.5,637015.25,2,growing
CD000125,Teacher Xmas Gift,market,dominant_observed_phrase,teacher gift xmas,teacher gift xmas,True,gift,,teacher,,christmas,christmas,,,0,5,287375,415924.0,739636.0,698001.4,2,growing
CD000126,Kid Boy Christmas Gift,market,dominant_observed_phrase,kids christmas gift boys,kids christmas gift boys,True,gift,boy,,,christmas,christmas,,,0,5,298256,315082.0,942479.0,784776.2,3,growing
CD000127,Son Birthday Gift,market,dominant_observed_phrase,son birthday gift,son birthday gift,True,gift,son,,,birthday,,,,0,11,302259,719180.0,786425.0,885043.27,4,declining
CD000128,Adult Daughter Christmas Gift,market,dominant_observed_phrase,christmas gift for adult daughter,christmas gift for adult daughter,True,gift,daughter,,,christmas,christmas,,,0,6,325663,378194.0,642128.0,759561.5,2,growing
CD000129,Fishing Dad Gift,market,dominant_observed_phrase,fishing gift for dad,fishing gift for dad,True,gift,dad,,fishing,,,,,0,5,347109,884927.0,1012325.0,954843.4,2,growing
CD000130,Kid Girl Gift,market,dominant_observed_phrase,kids gift girls,kids gift girls,True,gift,girl,,,,,,,0,8,365847,670685.25,807215.0,799151.13,2,growing
CD000131,Kid Girl Christmas Gift,market,dominant_observed_phrase,kids christmas gift girls,kids christmas gift girls,True,gift,girl,,,christmas,christmas,,,0,4,379242,480114.0,812463.0,796679.75,2,growing
CD000132,Kid Boy Gift,market,dominant_observed_phrase,kids gift boys,kids gift boys,True,gift,boy,,,,,,,0,5,389018,712774.0,768404.0,826088.2,3,growing
CD000133,Teen Boy Birthday Gift,market,dominant_observed_phrase,birthday gift for teen boys,birthday gift for teen boys,True,gift,boy,,,birthday,,,,0,7,487262,631129.5,856604.0,830913.86,4,declining
CD000134,Soccer Kid Gift,market,dominant_observed_phrase,soccer kids gift,soccer kids gift,True,gift,,,soccer,,,,,0,6,495446,589579.75,692847.5,789039.67,4,growing
CD000135,Dad Kid Christmas Gift,market,dominant_observed_phrase,christmas gift for dad from kids,christmas gift for dad from kids,True,gift,dad,,,christmas,christmas,,,0,3,520194,743787.0,967380.0,935120.33,1,emerging
CD000136,Girl Xmas Gift,market,dominant_observed_phrase,girls xmas gift,girls xmas gift,True,gift,girl,,,christmas,christmas,,,0,3,525468,608222.5,690977.0,855780.33,2,growing
CD000137,Hunting Dad Gift,market,dominant_observed_phrase,hunting gift for dad,hunting gift for dad,True,gift,dad,,hunting,,,,,0,3,543428,839402.0,1135376.0,959586.33,2,growing
CD000138,Cat Lover Christmas Gift,market,dominant_observed_phrase,christmas gift for cat lovers,christmas gift for cat lovers,True,gift,cat,,,christmas,christmas,cat lover,,0,4,545005,801649.75,933719.0,914022.0,2,growing
CD000139,Senior Dog Gift,market,dominant_observed_phrase,gift for senior dogs,gift for senior dogs,True,gift,dog,,,,,,,0,2,648834,649117.0,649400.0,649400.0,1,emerging
CD000140,Dad Fishing Gift,market,dominant_observed_phrase,dad fishing gift,dad fishing gift,True,gift,dad,,fishing,,,,,0,2,721485,772820.25,824155.5,824155.5,1,emerging
CD000141,Grandma Xmas Gift,market,dominant_observed_phrase,grandma xmas gift,grandma xmas gift,True,gift,grandma,,,christmas,christmas,,,0,2,848567,872176.75,895786.5,895786.5,1,emerging
CD000142,Adult Daughter Birthday Gift,market,dominant_observed_phrase,adult daughter birthday gift,adult daughter birthday gift,True,gift,daughter,,,birthday,,,,0,5,906795,1007446.0,1025610.0,1050829.0,3,declining
CD000143,Gift for Teen Daughter,market,dominant_observed_phrase,gift for teen daughter,gift for teen daughter,True,gift,daughter,,,,,,,0,2,952705,1017441.75,1082178.5,1082178.5,1,emerging
CD000144,Coffee Christmas Gift,market,dominant_observed_phrase,coffee christmas gift,coffee christmas gift,True,gift,,,coffee,christmas,christmas,,,0,3,957524,1006172.5,1054821.0,1066962.33,1,emerging
CD000145,Husband Xmas Gift,market,dominant_observed_phrase,husband xmas gift ideas,husband xmas gift ideas,True,gift,husband,,,christmas,christmas,,,0,4,977673,1162051.5,1251453.5,1217761.75,2,growing
CD000146,Kid Mom Gift,market,dominant_observed_phrase,gift from kids to mom,gift from kids to mom,True,gift,mom,,,,,,,0,2,990766,1097146.25,1203526.5,1203526.5,1,emerging
CD000147,Toddler Mom Gift,market,dominant_observed_phrase,gift from toddler to mom,gift from toddler to mom,True,gift,mom,,,,,,,0,2,1046183,1059183.75,1072184.5,1072184.5,1,emerging
CD000148,Baby Mom Gift,market,dominant_observed_phrase,baby mom gift,baby mom gift,True,gift,mom,,,,,,,0,2,1051942,1054150.25,1056358.5,1056358.5,1,emerging
CD000149,Dad Hunting Gift,market,dominant_observed_phrase,gift for dad hunting,gift for dad hunting,True,gift,dad,,hunting,,,,,0,2,1066896,1090013.0,1113130.0,1113130.0,1,emerging
CD000150,Dad Toddler Gift,market,dominant_observed_phrase,gift to dad from toddler,gift to dad from toddler,True,gift,dad,,,,,,,0,2,1184824,1205784.75,1226745.5,1226745.5,1,emerging
